timestamp_utc,horizon_min,pv_prev_norm
2025-06-21T20:24:00Z,144,0.0000
2025-06-21T20:25:00Z,145,0.0000
2025-06-21T20:26:00Z,146,0.0000
2025-06-21T20:27:00Z,147,0.0000
2025-06-21T20:28:00Z,148,0.0000
2025-06-21T20:29:00Z,149,0.0000
2025-06-21T20:30:00Z,150,0.0000
2025-06-21T20:31:00Z,151,0.0000
2025-06-21T20:32:00Z,152,0.0000
2025-06-21T20:33:00Z,153,0.0000
2025-06-21T20:34:00Z,154,0.0000
2025-06-21T20:35:00Z,155,0.0000
2025-06-21T20:36:00Z,156,0.0000
2025-06-21T20:37:00Z,157,0.0000
2025-06-21T20:38:00Z,158,0.0000
2025-06-21T20:39:00Z,159,0.0000
2025-06-21T20:40:00Z,160,0.0000
2025-06-21T20:41:00Z,161,0.0000
2025-06-21T20:42:00Z,162,0.0000
2025-06-21T20:43:00Z,163,0.0000
2025-06-21T20:44:00Z,164,0.0000
2025-06-21T20:45:00Z,165,0.0000
2025-06-21T20:46:00Z,166,0.0000
2025-06-21T20:47:00Z,167,0.0000
2025-06-21T20:48:00Z,168,0.0000
2025-06-21T20:49:00Z,169,0.0000
2025-06-21T20:50:00Z,170,0.0000
2025-06-21T20:51:00Z,171,0.0000
2025-06-21T20:52:00Z,172,0.0000
2025-06-21T20:53:00Z,173,0.0000
2025-06-21T20:54:00Z,174,0.0000
2025-06-21T20:55:00Z,175,0.0000
2025-06-21T20:56:00Z,176,0.0000
2025-06-21T20:57:00Z,177,0.0000
2025-06-21T20:58:00Z,178,0.0000
2025-06-21T20:59:00Z,179,0.0000
2025-06-21T21:00:00Z,180,0.0000
2025-06-21T21:01:00Z,181,0.0000
2025-06-21T21:02:00Z,182,0.0000
2025-06-21T21:03:00Z,183,0.0000
2025-06-21T21:04:00Z,184,0.0000
2025-06-21T21:05:00Z,185,0.0000
2025-06-21T21:06:00Z,186,0.0000
2025-06-21T21:07:00Z,187,0.0000
2025-06-21T21:08:00Z,188,0.0000
2025-06-21T21:09:00Z,189,0.0000
2025-06-21T21:10:00Z,190,0.0000
2025-06-21T21:11:00Z,191,0.0000
2025-06-21T21:12:00Z,192,0.0000
2025-06-21T21:13:00Z,193,0.0000
2025-06-21T21:14:00Z,194,0.0000
2025-06-21T21:15:00Z,195,0.0000
2025-06-21T21:16:00Z,196,0.0000
2025-06-21T21:17:00Z,197,0.0000
2025-06-21T21:18:00Z,198,0.0000
2025-06-21T21:19:00Z,199,0.0000
2025-06-21T21:20:00Z,200,0.0000
2025-06-21T21:21:00Z,201,0.0000
2025-06-21T21:22:00Z,202,0.0000
2025-06-21T21:23:00Z,203,0.0000
2025-06-21T21:24:00Z,204,0.0000
2025-06-21T21:25:00Z,205,0.0000
2025-06-21T21:26:00Z,206,0.0000
2025-06-21T21:27:00Z,207,0.0000
2025-06-21T21:28:00Z,208,0.0000
2025-06-21T21:29:00Z,209,0.0000
2025-06-21T21:30:00Z,210,0.0000
2025-06-21T21:31:00Z,211,0.0000
2025-06-21T21:32:00Z,212,0.0000
2025-06-21T21:33:00Z,213,0.0000
2025-06-21T21:34:00Z,214,0.0000
2025-06-21T21:35:00Z,215,0.0000
2025-06-21T21:36:00Z,216,0.0000
2025-06-21T21:37:00Z,217,0.0000
2025-06-21T21:38:00Z,218,0.0000
2025-06-21T21:39:00Z,219,0.0000
2025-06-21T21:40:00Z,220,0.0000
2025-06-21T21:41:00Z,221,0.0000
2025-06-21T21:42:00Z,222,0.0000
2025-06-21T21:43:00Z,223,0.0000
2025-06-21T21:44:00Z,224,0.0000
2025-06-21T21:45:00Z,225,0.0000
2025-06-21T21:46:00Z,226,0.0000
2025-06-21T21:47:00Z,227,0.0000
2025-06-21T21:48:00Z,228,0.0000
2025-06-21T21:49:00Z,229,0.0000
2025-06-21T21:50:00Z,230,0.0000
2025-06-21T21:51:00Z,231,0.0000
2025-06-21T21:52:00Z,232,0.0000
2025-06-21T21:53:00Z,233,0.0000
2025-06-21T21:54:00Z,234,0.0000
2025-06-21T21:55:00Z,235,0.0000
2025-06-21T21:56:00Z,236,0.0000
2025-06-21T21:57:00Z,237,0.0000
2025-06-21T21:58:00Z,238,0.0000
2025-06-21T21:59:00Z,239,0.0000
2025-06-21T22:00:00Z,240,0.0000
2025-06-21T22:01:00Z,241,0.0000
2025-06-21T22:02:00Z,242,0.0000
2025-06-21T22:03:00Z,243,0.0000
2025-06-21T22:04:00Z,244,0.0000
2025-06-21T22:05:00Z,245,0.0000
2025-06-21T22:06:00Z,246,0.0000
2025-06-21T22:07:00Z,247,0.0000
2025-06-21T22:08:00Z,248,0.0000
2025-06-21T22:09:00Z,249,0.0000
2025-06-21T22:10:00Z,250,0.0000
2025-06-21T22:11:00Z,251,0.0000
2025-06-21T22:12:00Z,252,0.0000
2025-06-21T22:13:00Z,253,0.0000
2025-06-21T22:14:00Z,254,0.0000
2025-06-21T22:15:00Z,255,0.0000
2025-06-21T22:16:00Z,256,0.0000
2025-06-21T22:17:00Z,257,0.0000
2025-06-21T22:18:00Z,258,0.0000
2025-06-21T22:19:00Z,259,0.0000
2025-06-21T22:20:00Z,260,0.0000
2025-06-21T22:21:00Z,261,0.0000
2025-06-21T22:22:00Z,262,0.0000
2025-06-21T22:23:00Z,263,0.0000
2025-06-21T22:24:00Z,264,0.0000
2025-06-21T22:25:00Z,265,0.0000
2025-06-21T22:26:00Z,266,0.0000
2025-06-21T22:27:00Z,267,0.0000
2025-06-21T22:28:00Z,268,0.0000
2025-06-21T22:29:00Z,269,0.0000
2025-06-21T22:30:00Z,270,0.0000
2025-06-21T22:31:00Z,271,0.0000
2025-06-21T22:32:00Z,272,0.0000
2025-06-21T22:33:00Z,273,0.0000
2025-06-21T22:34:00Z,274,0.0000
2025-06-21T22:35:00Z,275,0.0000
2025-06-21T22:36:00Z,276,0.0000
2025-06-21T22:37:00Z,277,0.0000
2025-06-21T22:38:00Z,278,0.0000
2025-06-21T22:39:00Z,279,0.0000
2025-06-21T22:40:00Z,280,0.0000
2025-06-21T22:41:00Z,281,0.0000
2025-06-21T22:42:00Z,282,0.0000
2025-06-21T22:43:00Z,283,0.0000
2025-06-21T22:44:00Z,284,0.0000
2025-06-21T22:45:00Z,285,0.0000
2025-06-21T22:46:00Z,286,0.0000
2025-06-21T22:47:00Z,287,0.0000
2025-06-21T22:48:00Z,288,0.0000
2025-06-21T22:49:00Z,289,0.0000
2025-06-21T22:50:00Z,290,0.0000
2025-06-21T22:51:00Z,291,0.0000
2025-06-21T22:52:00Z,292,0.0000
2025-06-21T22:53:00Z,293,0.0000
2025-06-21T22:54:00Z,294,0.0000
2025-06-21T22:55:00Z,295,0.0000
2025-06-21T22:56:00Z,296,0.0000
2025-06-21T22:57:00Z,297,0.0000
2025-06-21T22:58:00Z,298,0.0000
2025-06-21T22:59:00Z,299,0.0000
2025-06-21T23:00:00Z,300,0.0000
2025-06-21T23:01:00Z,301,0.0000
2025-06-21T23:02:00Z,302,0.0000
2025-06-21T23:03:00Z,303,0.0000
2025-06-21T23:04:00Z,304,0.0000
2025-06-21T23:05:00Z,305,0.0000
2025-06-21T23:06:00Z,306,0.0000
2025-06-21T23:07:00Z,307,0.0000
2025-06-21T23:08:00Z,308,0.0000
2025-06-21T23:09:00Z,309,0.0000
2025-06-21T23:10:00Z,310,0.0000
2025-06-21T23:11:00Z,311,0.0000
2025-06-21T23:12:00Z,312,0.0000
2025-06-21T23:13:00Z,313,0.0000
2025-06-21T23:14:00Z,314,0.0000
2025-06-21T23:15:00Z,315,0.0000
2025-06-21T23:16:00Z,316,0.0000
2025-06-21T23:17:00Z,317,0.0000
2025-06-21T23:18:00Z,318,0.0000
2025-06-21T23:19:00Z,319,0.0000
2025-06-21T23:20:00Z,320,0.0000
2025-06-21T23:21:00Z,321,0.0000
2025-06-21T23:22:00Z,322,0.0000
